k-seed,position_label,rev_k-seed,k-seed-extend,rev_k-seed-extend
ation_2\code_profiling\5000b,154,b0005\gniliforp_edoc\2_noita,p_ref.txt01:\Users\tonyr\One,enO\rynot\sresU\:10txt.fer_p
b_seed_generation_2\code_pro,142,orp_edoc\2_noitareneg_dees_b,filing\5000bp_ref.txt01:\Use,esU\:10txt.fer_pb0005\gnilif
bp_ref.txt01:\Users\tonyr\On,181,nO\rynot\sresU\:10txt.fer_pb,eDrive - Ulster University\P,P\ytisrevinU retslU - evirDe
cceleration in genomics\2020,57,0202\scimoneg ni noitarelecc,-21 MainResearch\Seed_genera,areneg_deeS\hcraeseRniaM 12-
celeration in genomics\2020-,58,-0202\scimoneg ni noitarelec,21 MainResearch\Seed_generat,tareneg_deeS\hcraeseRniaM 12
ch\Seed_generation\rapid-SME,99,EMS-dipar\noitareneg_deeS\hc,M\Rapid-SMEM\gnb_seed_genera,areneg_dees_bng\MEMS-dipaR\M
code_profiling\5000bp_ref.tx,162,xt.fer_pb0005\gniliforp_edoc,t01:\Users\tonyr\OneDrive - , - evirDenO\rynot\sresU\:10t
cs\2020-21 MainResearch\Seed,78,deeS\hcraeseRniaM 12-0202\sc,_generation\rapid-SMEM\Rapid,dipaR\MEMS-dipar\noitareneg_
d - FP1000 acceleration in gen,47,neg ni noitarelecca 0001PF - d,omics\2020-21 MainResearch\S,S\hcraeseRniaM 12-0202\scimo
d-SMEM\Rapid-SMEM\gnb_seed_g,122,g_dees_bng\MEMS-dipaR\MEMS-d,eneration_2\code_profiling\5,5\gniliforp_edoc\2_noitarene
d-SMEM\gnb_seed_generation_2,133,2_noitareneg_dees_bng\MEMS-d,\code_profiling\5000bp_ref.t,t.fer_pb0005\gniliforp_edoc\
d_generation\rapid-SMEM\Rapi,105,ipaR\MEMS-dipar\noitareneg_d,d-SMEM\gnb_seed_generation_2,2_noitareneg_dees_bng\MEMS-d
d_generation_2\code_profilin,147,niliforp_edoc\2_noitareneg_d,g\5000bp_ref.txt01:\Users\to,ot\sresU\:10txt.fer_pb0005\g
de_profiling\5000bp_ref.txt,164,txt.fer_pb0005\gniliforp_ed,01:\Users\tonyr\OneDrive - Ul,lU - evirDenO\rynot\sresU\:10
e - Ulster University\Phd - ,23, - dhP\ytisrevinU retslU - e,FP1000 acceleration in genomic,cimoneg ni noitarelecca 0001PF
eDrive - Ulster University\P,18,P\ytisrevinU retslU - evirDe,hd - FP1000 acceleration in ge,eg ni noitarelecca 0001PF - dh
e_profiling\5000bp_ref.txt01,165,10txt.fer_pb0005\gniliforp_e,:\Users\tonyr\OneDrive - Uls,slU - evirDenO\rynot\sresU\:
earch\Seed_generation\rapid-,96,-dipar\noitareneg_deeS\hcrae,SMEM\Rapid-SMEM\gnb_seed_gen,neg_dees_bng\MEMS-dipaR\MEMS
ed_generation\rapid-SMEM\Rap,104,paR\MEMS-dipar\noitareneg_de,id-SMEM\gnb_seed_generation_,_noitareneg_dees_bng\MEMS-di
ed_generation_2\code_profili,146,iliforp_edoc\2_noitareneg_de,ng\5000bp_ref.txt01:\Users\t,t\sresU\:10txt.fer_pb0005\gn
eed_generation\rapid-SMEM\Ra,103,aR\MEMS-dipar\noitareneg_dee,pid-SMEM\gnb_seed_generation,noitareneg_dees_bng\MEMS-dip
eed_generation_2\code_profil,145,liforp_edoc\2_noitareneg_dee,ing\5000bp_ref.txt01:\Users\,\sresU\:10txt.fer_pb0005\gni
ef.txt01:\Users\tonyr\OneDri,185,irDenO\rynot\sresU\:10txt.fe,ve - Ulster University\Phd -,- dhP\ytisrevinU retslU - ev
eleration in genomics\2020-2,59,2-0202\scimoneg ni noitarele,1 MainResearch\Seed_generati,itareneg_deeS\hcraeseRniaM 1
eneration\rapid-SMEM\Rapid-S,108,S-dipaR\MEMS-dipar\noitarene,MEM\gnb_seed_generation_2\co,oc\2_noitareneg_dees_bng\MEM
eneration_2\code_profiling\5,150,5\gniliforp_edoc\2_noitarene,000bp_ref.txt01:\Users\tonyr,rynot\sresU\:10txt.fer_pb000
enomics\2020-21 MainResearch,73,hcraeseRniaM 12-0202\scimone,\Seed_generation\rapid-SMEM\,\MEMS-dipar\noitareneg_deeS\
er University\Phd - FP1000 acc,31,cca 0001PF - dhP\ytisrevinU re,eleration in genomics\2020-2,2-0202\scimoneg ni noitarele
eration in genomics\2020-21 ,61, 12-0202\scimoneg ni noitare,MainResearch\Seed_generation,noitareneg_deeS\hcraeseRniaM
eration\rapid-SMEM\Rapid-SME,110,EMS-dipaR\MEMS-dipar\noitare,M\gnb_seed_generation_2\code,edoc\2_noitareneg_dees_bng\M
eration_2\code_profiling\500,152,005\gniliforp_edoc\2_noitare,0bp_ref.txt01:\Users\tonyr\O,O\rynot\sresU\:10txt.fer_pb0
ers\tonyr\OneDrive - Ulster ,6, retslU - evirDenO\rynot\sre,University\Phd - FP1000 accele,elecca 0001PF - dhP\ytisrevinU
ersity\Phd - FP1000 accelerati,38,itarelecca 0001PF - dhP\ytisre,on in genomics\2020-21 MainR,RniaM 12-0202\scimoneg ni no
esearch\Seed_generation\rapi,94,ipar\noitareneg_deeS\hcraese,d-SMEM\Rapid-SMEM\gnb_seed_g,g_dees_bng\MEMS-dipaR\MEMS-d
f.txt01:\Users\tonyr\OneDriv,186,virDenO\rynot\sresU\:10txt.f,e - Ulster University\Phd - , - dhP\ytisrevinU retslU - e
filing\5000bp_ref.txt01:\Use,170,esU\:10txt.fer_pb0005\gnilif,rs\tonyr\OneDrive - Ulster U,U retslU - evirDenO\rynot\sr
g\5000bp_ref.txt01:\Users\to,175,ot\sresU\:10txt.fer_pb0005\g,nyr\OneDrive - Ulster Univer,revinU retslU - evirDenO\ryn
generation\rapid-SMEM\Rapid-,107,-dipaR\MEMS-dipar\noitareneg,SMEM\gnb_seed_generation_2\c,c\2_noitareneg_dees_bng\MEMS
generation_2\code_profiling\,149,\gniliforp_edoc\2_noitareneg,5000bp_ref.txt01:\Users\tony,ynot\sresU\:10txt.fer_pb0005
genomics\2020-21 MainResearc,72,craeseRniaM 12-0202\scimoneg,h\Seed_generation\rapid-SMEM,MEMS-dipar\noitareneg_deeS\h
gnb_seed_generation_2\code_p,140,p_edoc\2_noitareneg_dees_bng,rofiling\5000bp_ref.txt01:\U,U\:10txt.fer_pb0005\gnilifor
h\Seed_generation\rapid-SMEM,100,MEMS-dipar\noitareneg_deeS\h,\Rapid-SMEM\gnb_seed_generat,tareneg_dees_bng\MEMS-dipaR\
hd - FP1000 acceleration in ge,46,eg ni noitarelecca 0001PF - dh,nomics\2020-21 MainResearch\,\hcraeseRniaM 12-0202\scimon
ics\2020-21 MainResearch\See,77,eeS\hcraeseRniaM 12-0202\sci,d_generation\rapid-SMEM\Rapi,ipaR\MEMS-dipar\noitareneg_d
id-SMEM\Rapid-SMEM\gnb_seed_,121,_dees_bng\MEMS-dipaR\MEMS-di,generation_2\code_profiling\,\gniliforp_edoc\2_noitareneg
id-SMEM\gnb_seed_generation_,132,_noitareneg_dees_bng\MEMS-di,2\code_profiling\5000bp_ref.,.fer_pb0005\gniliforp_edoc\2
iling\5000bp_ref.txt01:\User,171,resU\:10txt.fer_pb0005\gnili,s\tonyr\OneDrive - Ulster Un,nU retslU - evirDenO\rynot\s
in genomics\2020-21 MainRese,69,eseRniaM 12-0202\scimoneg ni,arch\Seed_generation\rapid-S,S-dipar\noitareneg_deeS\hcra
inResearch\Seed_generation\r,91,r\noitareneg_deeS\hcraeseRni,apid-SMEM\Rapid-SMEM\gnb_see,ees_bng\MEMS-dipaR\MEMS-dipa
ing\5000bp_ref.txt01:\Users\,173,\sresU\:10txt.fer_pb0005\gni,tonyr\OneDrive - Ulster Univ,vinU retslU - evirDenO\rynot
ion in genomics\2020-21 Main,65,niaM 12-0202\scimoneg ni noi,Research\Seed_generation\rap,par\noitareneg_deeS\hcraeseR
ion\rapid-SMEM\Rapid-SMEM\gn,114,ng\MEMS-dipaR\MEMS-dipar\noi,b_seed_generation_2\code_pro,orp_edoc\2_noitareneg_dees_b
ion_2\code_profiling\5000bp_,156,_pb0005\gniliforp_edoc\2_noi,ref.txt01:\Users\tonyr\OneDr,rDenO\rynot\sresU\:10txt.fer
ity\Phd - FP1000 acceleration ,41, noitarelecca 0001PF - dhP\yti,in genomics\2020-21 MainRese,eseRniaM 12-0202\scimoneg ni
ive - Ulster University\Phd ,21, dhP\ytisrevinU retslU - evi,- FP1000 acceleration in genom,moneg ni noitarelecca 0001PF -
iversity\Phd - FP1000 accelera,36,arelecca 0001PF - dhP\ytisrevi,tion in genomics\2020-21 Mai,iaM 12-0202\scimoneg ni noit
leration in genomics\2020-21,60,12-0202\scimoneg ni noitarel, MainResearch\Seed_generatio,oitareneg_deeS\hcraeseRniaM 
ling\5000bp_ref.txt01:\Users,172,sresU\:10txt.fer_pb0005\gnil,\tonyr\OneDrive - Ulster Uni,inU retslU - evirDenO\rynot\
lster University\Phd - FP1000 ,28, 0001PF - dhP\ytisrevinU retsl,acceleration in genomics\202,202\scimoneg ni noitarelecca
mics\2020-21 MainResearch\Se,76,eS\hcraeseRniaM 12-0202\scim,ed_generation\rapid-SMEM\Rap,paR\MEMS-dipar\noitareneg_de
n genomics\2020-21 MainResea,70,aeseRniaM 12-0202\scimoneg n,rch\Seed_generation\rapid-SM,MS-dipar\noitareneg_deeS\hcr
n in genomics\2020-21 MainRe,67,eRniaM 12-0202\scimoneg ni n,search\Seed_generation\rapid,dipar\noitareneg_deeS\hcraes
nResearch\Seed_generation\ra,92,ar\noitareneg_deeS\hcraeseRn,pid-SMEM\Rapid-SMEM\gnb_seed,dees_bng\MEMS-dipaR\MEMS-dip
n\rapid-SMEM\Rapid-SMEM\gnb_,116,_bng\MEMS-dipaR\MEMS-dipar\n,seed_generation_2\code_profi,iforp_edoc\2_noitareneg_dees
n_2\code_profiling\5000bp_re,158,er_pb0005\gniliforp_edoc\2_n,f.txt01:\Users\tonyr\OneDriv,virDenO\rynot\sresU\:10txt.f
nb_seed_generation_2\code_pr,141,rp_edoc\2_noitareneg_dees_bn,ofiling\5000bp_ref.txt01:\Us,sU\:10txt.fer_pb0005\gnilifo
neDrive - Ulster University\,17,\ytisrevinU retslU - evirDen,Phd - FP1000 acceleration in g,g ni noitarelecca 0001PF - dhP
neration\rapid-SMEM\Rapid-SM,109,MS-dipaR\MEMS-dipar\noitaren,EM\gnb_seed_generation_2\cod,doc\2_noitareneg_dees_bng\ME
neration_2\code_profiling\50,151,05\gniliforp_edoc\2_noitaren,00bp_ref.txt01:\Users\tonyr\,\rynot\sresU\:10txt.fer_pb00
ng\5000bp_ref.txt01:\Users\t,174,t\sresU\:10txt.fer_pb0005\gn,onyr\OneDrive - Ulster Unive,evinU retslU - evirDenO\ryno
niversity\Phd - FP1000 acceler,35,relecca 0001PF - dhP\ytisrevin,ation in genomics\2020-21 Ma,aM 12-0202\scimoneg ni noita
nomics\2020-21 MainResearch\,74,\hcraeseRniaM 12-0202\scimon,Seed_generation\rapid-SMEM\R,R\MEMS-dipar\noitareneg_deeS
nyr\OneDrive - Ulster Univer,12,revinU retslU - evirDenO\ryn,sity\Phd - FP1000 acceleration,noitarelecca 0001PF - dhP\ytis
ode_profiling\5000bp_ref.txt,163,txt.fer_pb0005\gniliforp_edo,01:\Users\tonyr\OneDrive - U,U - evirDenO\rynot\sresU\:10
ofiling\5000bp_ref.txt01:\Us,169,sU\:10txt.fer_pb0005\gnilifo,ers\tonyr\OneDrive - Ulster , retslU - evirDenO\rynot\sre
omics\2020-21 MainResearch\S,75,S\hcraeseRniaM 12-0202\scimo,eed_generation\rapid-SMEM\Ra,aR\MEMS-dipar\noitareneg_dee
on in genomics\2020-21 MainR,66,RniaM 12-0202\scimoneg ni no,esearch\Seed_generation\rapi,ipar\noitareneg_deeS\hcraese
on\rapid-SMEM\Rapid-SMEM\gnb,115,bng\MEMS-dipaR\MEMS-dipar\no,_seed_generation_2\code_prof,forp_edoc\2_noitareneg_dees_
on_2\code_profiling\5000bp_r,157,r_pb0005\gniliforp_edoc\2_no,ef.txt01:\Users\tonyr\OneDri,irDenO\rynot\sresU\:10txt.fe
onyr\OneDrive - Ulster Unive,11,evinU retslU - evirDenO\ryno,rsity\Phd - FP1000 acceleratio,oitarelecca 0001PF - dhP\ytisr
p_ref.txt01:\Users\tonyr\One,182,enO\rynot\sresU\:10txt.fer_p,Drive - Ulster University\Ph,hP\ytisrevinU retslU - evirD
pid-SMEM\Rapid-SMEM\gnb_seed,120,dees_bng\MEMS-dipaR\MEMS-dip,_generation_2\code_profiling,gniliforp_edoc\2_noitareneg_
pid-SMEM\gnb_seed_generation,131,noitareneg_dees_bng\MEMS-dip,_2\code_profiling\5000bp_ref,fer_pb0005\gniliforp_edoc\2_
profiling\5000bp_ref.txt01:\,167,\:10txt.fer_pb0005\gniliforp,Users\tonyr\OneDrive - Ulste,etslU - evirDenO\rynot\sresU
r University\Phd - FP1000 acce,32,ecca 0001PF - dhP\ytisrevinU r,leration in genomics\2020-21,12-0202\scimoneg ni noitarel
r\OneDrive - Ulster Universi,14,isrevinU retslU - evirDenO\r,ty\Phd - FP1000 acceleration i,i noitarelecca 0001PF - dhP\yt
rapid-SMEM\Rapid-SMEM\gnb_se,118,es_bng\MEMS-dipaR\MEMS-dipar,ed_generation_2\code_profili,iliforp_edoc\2_noitareneg_de
ration in genomics\2020-21 M,62,M 12-0202\scimoneg ni noitar,ainResearch\Seed_generation\,\noitareneg_deeS\hcraeseRnia
ration\rapid-SMEM\Rapid-SMEM,111,MEMS-dipaR\MEMS-dipar\noitar,\gnb_seed_generation_2\code_,_edoc\2_noitareneg_dees_bng\
ration_2\code_profiling\5000,153,0005\gniliforp_edoc\2_noitar,bp_ref.txt01:\Users\tonyr\On,nO\rynot\sresU\:10txt.fer_pb
rch\Seed_generation\rapid-SM,98,MS-dipar\noitareneg_deeS\hcr,EM\Rapid-SMEM\gnb_seed_gener,reneg_dees_bng\MEMS-dipaR\ME
ref.txt01:\Users\tonyr\OneDr,184,rDenO\rynot\sresU\:10txt.fer,ive - Ulster University\Phd , dhP\ytisrevinU retslU - evi
rive - Ulster University\Phd,20,dhP\ytisrevinU retslU - evir, - FP1000 acceleration in geno,oneg ni noitarelecca 0001PF - 
rofiling\5000bp_ref.txt01:\U,168,U\:10txt.fer_pb0005\gnilifor,sers\tonyr\OneDrive - Ulster,retslU - evirDenO\rynot\sres
rs\tonyr\OneDrive - Ulster U,7,U retslU - evirDenO\rynot\sr,niversity\Phd - FP1000 acceler,relecca 0001PF - dhP\ytisrevin
rsity\Phd - FP1000 acceleratio,39,oitarelecca 0001PF - dhP\ytisr,n in genomics\2020-21 MainRe,eRniaM 12-0202\scimoneg ni n
s\2020-21 MainResearch\Seed_,79,_deeS\hcraeseRniaM 12-0202\s,generation\rapid-SMEM\Rapid-,-dipaR\MEMS-dipar\noitareneg
s\tonyr\OneDrive - Ulster Un,8,nU retslU - evirDenO\rynot\s,iversity\Phd - FP1000 accelera,arelecca 0001PF - dhP\ytisrevi
search\Seed_generation\rapid,95,dipar\noitareneg_deeS\hcraes,-SMEM\Rapid-SMEM\gnb_seed_ge,eg_dees_bng\MEMS-dipaR\MEMS-
seed_generation_2\code_profi,144,iforp_edoc\2_noitareneg_dees,ling\5000bp_ref.txt01:\Users,sresU\:10txt.fer_pb0005\gnil
sers\tonyr\OneDrive - Ulster,5,retslU - evirDenO\rynot\sres, University\Phd - FP1000 accel,lecca 0001PF - dhP\ytisrevinU 
sity\Phd - FP1000 acceleration,40,noitarelecca 0001PF - dhP\ytis, in genomics\2020-21 MainRes,seRniaM 12-0202\scimoneg ni 
ster University\Phd - FP1000 a,29,a 0001PF - dhP\ytisrevinU rets,cceleration in genomics\2020,0202\scimoneg ni noitarelecc
t01:\Users\tonyr\OneDrive - ,190, - evirDenO\rynot\sresU\:10t,Ulster University\Phd - FP1000,0001PF - dhP\ytisrevinU retslU
ter University\Phd - FP1000 ac,30,ca 0001PF - dhP\ytisrevinU ret,celeration in genomics\2020-,-0202\scimoneg ni noitarelec
tion in genomics\2020-21 Mai,64,iaM 12-0202\scimoneg ni noit,nResearch\Seed_generation\ra,ar\noitareneg_deeS\hcraeseRn
tion\rapid-SMEM\Rapid-SMEM\g,113,g\MEMS-dipaR\MEMS-dipar\noit,nb_seed_generation_2\code_pr,rp_edoc\2_noitareneg_dees_bn
tion_2\code_profiling\5000bp,155,pb0005\gniliforp_edoc\2_noit,_ref.txt01:\Users\tonyr\OneD,DenO\rynot\sresU\:10txt.fer_
tonyr\OneDrive - Ulster Univ,10,vinU retslU - evirDenO\rynot,ersity\Phd - FP1000 accelerati,itarelecca 0001PF - dhP\ytisre
txt01:\Users\tonyr\OneDrive ,188, evirDenO\rynot\sresU\:10txt,- Ulster University\Phd - FP,PF - dhP\ytisrevinU retslU -
ty\Phd - FP1000 acceleration i,42,i noitarelecca 0001PF - dhP\yt,n genomics\2020-21 MainResea,aeseRniaM 12-0202\scimoneg n
ve - Ulster University\Phd -,22,- dhP\ytisrevinU retslU - ev, FP1000 acceleration in genomi,imoneg ni noitarelecca 0001PF 
versity\Phd - FP1000 accelerat,37,tarelecca 0001PF - dhP\ytisrev,ion in genomics\2020-21 Main,niaM 12-0202\scimoneg ni noi
xt01:\Users\tonyr\OneDrive -,189,- evirDenO\rynot\sresU\:10tx, Ulster University\Phd - FP10,01PF - dhP\ytisrevinU retslU 
y\Phd - FP1000 acceleration in,43,ni noitarelecca 0001PF - dhP\y, genomics\2020-21 MainResear,raeseRniaM 12-0202\scimoneg 
yr\OneDrive - Ulster Univers,13,srevinU retslU - evirDenO\ry,ity\Phd - FP1000 acceleration , noitarelecca 0001PF - dhP\yti
 - FP1000 acceleration in geno,48,oneg ni noitarelecca 0001PF - ,mics\2020-21 MainResearch\Se,eS\hcraeseRniaM 12-0202\scim
 - Ulster University\Phd - F,24,F - dhP\ytisrevinU retslU - ,P1000 acceleration in genomics,scimoneg ni noitarelecca 0001P
 FP1000 acceleration in genomi,50,imoneg ni noitarelecca 0001PF ,cs\2020-21 MainResearch\Seed,deeS\hcraeseRniaM 12-0202\sc
 MainResearch\Seed_generatio,88,oitareneg_deeS\hcraeseRniaM ,n\rapid-SMEM\Rapid-SMEM\gnb_,_bng\MEMS-dipaR\MEMS-dipar\n
 Ulster University\Phd - FP10,26,01PF - dhP\ytisrevinU retslU ,00 acceleration in genomics\2,2\scimoneg ni noitarelecca 00
 University\Phd - FP1000 accel,33,lecca 0001PF - dhP\ytisrevinU ,eration in genomics\2020-21 , 12-0202\scimoneg ni noitare
 acceleration in genomics\20,55,02\scimoneg ni noitarelecca ,20-21 MainResearch\Seed_gene,eneg_deeS\hcraeseRniaM 12-02
 genomics\2020-21 MainResear,71,raeseRniaM 12-0202\scimoneg ,ch\Seed_generation\rapid-SME,EMS-dipar\noitareneg_deeS\hc
 in genomics\2020-21 MainRes,68,seRniaM 12-0202\scimoneg ni ,earch\Seed_generation\rapid-,-dipar\noitareneg_deeS\hcrae
01:\Users\tonyr\OneDrive - U,0,U - evirDenO\rynot\sresU\:10,lster University\Phd - FP1000 , 0001PF - dhP\ytisrevinU retsl
- FP1000 acceleration in genom,49,moneg ni noitarelecca 0001PF -,ics\2020-21 MainResearch\See,eeS\hcraeseRniaM 12-0202\sci
- Ulster University\Phd - FP,25,PF - dhP\ytisrevinU retslU -,1000 acceleration in genomics\,\scimoneg ni noitarelecca 0001
-21 MainResearch\Seed_genera,85,areneg_deeS\hcraeseRniaM 12-,tion\rapid-SMEM\Rapid-SMEM\g,g\MEMS-dipaR\MEMS-dipar\noit
-SMEM\Rapid-SMEM\gnb_seed_ge,123,eg_dees_bng\MEMS-dipaR\MEMS-,neration_2\code_profiling\50,05\gniliforp_edoc\2_noitaren
-SMEM\gnb_seed_generation_2\,134,\2_noitareneg_dees_bng\MEMS-,code_profiling\5000bp_ref.tx,xt.fer_pb0005\gniliforp_edoc
.txt01:\Users\tonyr\OneDrive,187,evirDenO\rynot\sresU\:10txt., - Ulster University\Phd - F,F - dhP\ytisrevinU retslU - 
0-21 MainResearch\Seed_gener,84,reneg_deeS\hcraeseRniaM 12-0,ation\rapid-SMEM\Rapid-SMEM\,\MEMS-dipaR\MEMS-dipar\noita
000bp_ref.txt01:\Users\tonyr,178,rynot\sresU\:10txt.fer_pb000,\OneDrive - Ulster Universit,tisrevinU retslU - evirDenO\
00bp_ref.txt01:\Users\tonyr\,179,\rynot\sresU\:10txt.fer_pb00,OneDrive - Ulster University,ytisrevinU retslU - evirDenO
020-21 MainResearch\Seed_gen,82,neg_deeS\hcraeseRniaM 12-020,eration\rapid-SMEM\Rapid-SME,EMS-dipaR\MEMS-dipar\noitare
0bp_ref.txt01:\Users\tonyr\O,180,O\rynot\sresU\:10txt.fer_pb0,neDrive - Ulster University\,\ytisrevinU retslU - evirDen
1 MainResearch\Seed_generati,87,itareneg_deeS\hcraeseRniaM 1,on\rapid-SMEM\Rapid-SMEM\gnb,bng\MEMS-dipaR\MEMS-dipar\no
20-21 MainResearch\Seed_gene,83,eneg_deeS\hcraeseRniaM 12-02,ration\rapid-SMEM\Rapid-SMEM,MEMS-dipaR\MEMS-dipar\noitar
2020-21 MainResearch\Seed_ge,81,eg_deeS\hcraeseRniaM 12-0202,neration\rapid-SMEM\Rapid-SM,MS-dipaR\MEMS-dipar\noitaren
21 MainResearch\Seed_generat,86,tareneg_deeS\hcraeseRniaM 12,ion\rapid-SMEM\Rapid-SMEM\gn,ng\MEMS-dipaR\MEMS-dipar\noi
2\code_profiling\5000bp_ref.,160,.fer_pb0005\gniliforp_edoc\2,txt01:\Users\tonyr\OneDrive , evirDenO\rynot\sresU\:10txt
5000bp_ref.txt01:\Users\tony,177,ynot\sresU\:10txt.fer_pb0005,r\OneDrive - Ulster Universi,isrevinU retslU - evirDenO\r
:\Users\tonyr\OneDrive - Uls,2,slU - evirDenO\rynot\sresU\:,ter University\Phd - FP1000 ac,ca 0001PF - dhP\ytisrevinU ret
00 acceleration in genomics\2,54,2\scimoneg ni noitarelecca 00,020-21 MainResearch\Seed_gen,neg_deeS\hcraeseRniaM 12-020
01:\Users\tonyr\OneDrive - Ul,1,lU - evirDenO\rynot\sresU\:10,ster University\Phd - FP1000 a,a 0001PF - dhP\ytisrevinU rets
Drive - Ulster University\Ph,19,hP\ytisrevinU retslU - evirD,d - FP1000 acceleration in gen,neg ni noitarelecca 0001PF - d
EM\Rapid-SMEM\gnb_seed_gener,126,reneg_dees_bng\MEMS-dipaR\ME,ation_2\code_profiling\5000b,b0005\gniliforp_edoc\2_noita
EM\gnb_seed_generation_2\cod,137,doc\2_noitareneg_dees_bng\ME,e_profiling\5000bp_ref.txt01,10txt.fer_pb0005\gniliforp_e
FP1000 acceleration in genomic,51,cimoneg ni noitarelecca 0001PF,s\2020-21 MainResearch\Seed_,_deeS\hcraeseRniaM 12-0202\s
1000 acceleration in genomics\,53,\scimoneg ni noitarelecca 0001,2020-21 MainResearch\Seed_ge,eg_deeS\hcraeseRniaM 12-0202
MEM\Rapid-SMEM\gnb_seed_gene,125,eneg_dees_bng\MEMS-dipaR\MEM,ration_2\code_profiling\5000,0005\gniliforp_edoc\2_noitar
MEM\gnb_seed_generation_2\co,136,oc\2_noitareneg_dees_bng\MEM,de_profiling\5000bp_ref.txt,txt.fer_pb0005\gniliforp_ed
